Title,US_Gross,Worldwide_Gross,US_DVD_Sales,Production_Budget
The Land Girls,146083,146083,,8000000
"First Love, Last Rites",10876,10876,,300000
I Married a Strange Person,203134,203134,,250000
Let's Talk About Sex,373615,373615,,300000
Slam,1009819,1087521,,1000000
Mississippi Mermaid,24551,2624551,,1600000
Following,44705,44705,,6000
Foolish,6026908,6026908,,1600000
Pirates,1641825,6341825,,40000000
Duel in the Sun,20400000,20400000,,6000000
Tom Jones,37600000,37600000,,1000000
Oliver!,37402877,37402877,,10000000
To Kill A Mockingbird,13129846,13129846,,2000000
"Tora, Tora, Tora",29548291,29548291,,25000000
Hollywood Shuffle,5228617,5228617,,100000
Over the Hill to the Poorhouse,3000000,3000000,,100000
Wilson,2000000,2000000,,5200000
Darling Lili,5000000,5000000,,22000000
The Ten Commandments,80000000,80000000,,13500000
12 Angry Men,0,0,,340000
Twelve Monkeys,57141459,168841459,,29000000
1776,0,0,,4000000
1941,34175000,94875000,,32000000
Chacun sa nuit,18435,18435,,1900000
2001: A Space Odyssey,56700000,68700000,,10500000
"20,000 Leagues Under the Sea",28200000,28200000,,5000000
"20,000 Leagues Under the Sea",8000000,8000000,,200000
24 7: Twenty Four Seven,72544,72544,,2000000
Twin Falls Idaho,985341,1027228,,500000
Three Kingdoms: Resurrection of the Dragon,0,22139590,,20000000
3 Men and a Baby,167780960,167780960,,15000000
3 Ninjas Kick Back,11744960,11744960,,20000000
Forty Shades of Blue,75828,172569,,1500000
42nd Street,2300000,2300000,,439000
Four Rooms,4301000,4301000,,4000000
The Four Seasons,42488161,42488161,,6500000
Four Weddings and a Funeral,52700832,242895809,,4500000
51 Birch Street,84689,84689,,350000
55 Days at Peking,10000000,10000000,,17000000
Nine 1/2 Weeks,6734844,6734844,,18000000
AstÃrix aux Jeux Olympiques,999811,132999811,,113500000
The Abyss,54243125,54243125,,70000000
Action Jackson,20257000,20257000,,7000000
Ace Ventura: Pet Detective,72217396,107217396,,12000000
Ace Ventura: When Nature Calls,108360063,212400000,,30000000
April Fool's Day,12947763,12947763,,5000000
Among Giants,64359,64359,,4000000
