Title,Release_Date,MPAA_Rating,Running_Time_min,Distributor,Source,Major_Genre,Creative_Type,Director,Rotten_Tomatoes_Rating,IMDB_Rating,IMDB_Votes
The Land Girls,12-Jun-98,R,,Gramercy,,,,,,6.1,1071
"First Love, Last Rites",7-Aug-98,R,,Strand,,Drama,,,,6.9,207
I Married a Strange Person,28-Aug-98,,,Lionsgate,,Comedy,,,,6.8,865
Let's Talk About Sex,11-Sep-98,,,Fine Line,,Comedy,,,13,,
Slam,9-Oct-98,R,,Trimark,Original Screenplay,Drama,Contemporary Fiction,,62,3.4,165
Mississippi Mermaid,15-Jan-99,,,MGM,,,,,,,
Following,4-Apr-99,R,,Zeitgeist,,,,Christopher Nolan,,7.7,15133
Foolish,9-Apr-99,R,,Artisan,Original Screenplay,Comedy,Contemporary Fiction,,,3.8,353
Pirates,1-Jul-86,R,,,,,,Roman Polanski,25,5.8,3275
Duel in the Sun,31-Dec-46,,,,,,,,86,7,2906
Tom Jones,7-Oct-63,,,,,,,,81,7,4035
Oliver!,11-Dec-68,,,Sony Pictures,,Musical,,,84,7.5,9111
To Kill A Mockingbird,25-Dec-62,,,Universal,,,,,97,8.4,82786
"Tora, Tora, Tora",23-Sep-70,,,,,,,Richard Fleischer,,,
Hollywood Shuffle,1-Mar-87,,,,,,,,87,6.8,1532
Over the Hill to the Poorhouse,17-Sep-20,,,,,,,,,,
Wilson,1-Aug-44,,,,,,,,,7,451
Darling Lili,1-Jan-70,,,,,,,Blake Edwards,,6.1,858
The Ten Commandments,5-Oct-56,,,,,,,,90,2.5,1677
12 Angry Men,13-Apr-57,,,United Artists,Original Screenplay,Drama,,Sidney Lumet,,8.9,119101
Twelve Monkeys,27-Dec-95,R,,Universal,Based on Short Film,Drama,Science Fiction,Terry Gilliam,,8.1,169858
1776,9-Nov-72,PG,,Sony/Columbia,Based on Play,Drama,Historical Fiction,,57,7,4099
1941,14-Dec-79,,,Universal,Original Screenplay,Comedy,Historical Fiction,Steven Spielberg,33,5.6,13364
Chacun sa nuit,29-Jun-07,Not Rated,,Strand,Original Screenplay,Thriller/Suspense,,,,6.3,365
2001: A Space Odyssey,2-Apr-68,,,,Original Screenplay,,Science Fiction,Stanley Kubrick,96,8.4,160342
"20,000 Leagues Under the Sea",23-Dec-54,,,Walt Disney Pictures,Based on Book/Short Story,Adventure,,Richard Fleischer,92,,
"20,000 Leagues Under the Sea",24-Dec-16,,,,Based on Book/Short Story,Adventure,,,,,
24 7: Twenty Four Seven,15-Apr-98,R,,October Films,Original Screenplay,Comedy,,Shane Meadows,,6.9,1417
Twin Falls Idaho,30-Jul-99,R,,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,Michael Polish,77,7.1,2810
Three Kingdoms: Resurrection of the Dragon,3-Apr-08,R,,,Based on Book/Short Story,Action,Historical Fiction,,,,
3 Men and a Baby,25-Nov-87,,,Walt Disney Pictures,Remake,Comedy,Contemporary Fiction,Leonard Nimoy,,5.7,16764
3 Ninjas Kick Back,6-May-94,PG,,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,,17,3.2,3107
Forty Shades of Blue,28-Sep-05,R,,Vitagraph Films,Original Screenplay,Drama,,,,6,873
42nd Street,9-Mar-33,,,Warner Bros.,Based on Book/Short Story,Musical,,,95,7.7,4263
Four Rooms,25-Dec-95,R,,Miramax,Original Screenplay,Comedy,Contemporary Fiction,Robert Rodriguez,14,6.4,34328
The Four Seasons,22-May-81,,,Universal,Original Screenplay,Comedy,Contemporary Fiction,Alan Alda,71,7,1814
Four Weddings and a Funeral,9-Mar-94,R,,Gramercy,Original Screenplay,Romantic Comedy,Contemporary Fiction,Mike Newell,96,7.1,39003
51 Birch Street,18-Oct-06,Not Rated,,Truly Indie,,,,,97,7.4,439
55 Days at Peking,1963-01-01,,,,Original Screenplay,Drama,,,57,6.8,2104
Nine 1/2 Weeks,21-Feb-86,,,MGM,Based on Book/Short Story,Drama,Contemporary Fiction,Adrian Lyne,,5.4,12731
AstÃrix aux Jeux Olympiques,4-Jul-08,Not Rated,,Alliance,Based on Comic/Graphic Novel,Adventure,Fantasy,,,4.9,5620
The Abyss,9-Aug-89,PG-13,,20th Century Fox,Original Screenplay,Action,Science Fiction,James Cameron,88,7.6,51018
Action Jackson,12-Feb-88,,,Lorimar Motion Pictures,Original Screenplay,Action,Contemporary Fiction,,10,4.6,3856
Ace Ventura: Pet Detective,4-Feb-94,PG-13,,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Tom Shadyac,49,6.6,63543
Ace Ventura: When Nature Calls,10-Nov-95,PG-13,,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Steve Oedekerk,,5.6,51275
April Fool's Day,27-Mar-86,,,Paramount Pictures,Original Screenplay,Horror,Contemporary Fiction,,31,,
Among Giants,26-Mar-99,R,,Fox Searchlight,Original Screenplay,Romantic Comedy,,,,5.7,546
Annie Get Your Gun,17-May-50,,,MGM,Based on Book/Short Story,Musical,,,100,7.1,1326
Alice in Wonderland,28-Jul-51,,,RKO Radio Pictures,Based on Book/Short Story,Musical,,,20,6.7,63458
The Princess and the Cobbler,25-Aug-95,G,,Miramax,Original Screenplay,Adventure,Fantasy,,,7.3,893
The Alamo,24-Oct-60,PG-13,,United Artists,Original Screenplay,Western,Historical Fiction,John Wayne,54,5.9,10063
Alexander's Ragtime Band,1938-01-01,,,20th Century Fox,Original Screenplay,Drama,,,,,
Alive,15-Jan-93,R,,Walt Disney Pictures,Based on Book/Short Story,Adventure,Dramatization,Frank Marshall,71,3.2,124
Amen,24-Jan-03,Not Rated,,Kino International,Based on Play,Drama,,Costa-Gavras,,7.4,5416
American Graffiti,11-Aug-73,,,Universal,Original Screenplay,Comedy,,George Lucas,97,7.6,30952
American Ninja 2: The Confrontation,1987-01-01,,,,Original Screenplay,Action,,Sam Firstenberg,,3.7,2495
The American President,17-Nov-95,PG-13,,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Rob Reiner,90,6.8,22780
